ALICATE PRESSAO 10*
ALICATE UNIVERSAL IS 8*
CHAVE ALLEN 1/4*
CHAVE ALLEN 3/16*
CHAVE ALLEN 9 mm
CHAVE BOCA FIXA 16X17 mm
CHAVE BOCA FIXA 18X19 mm
CHAVE COMBINADA 7/16*
CHAVE ESTRIA 12X13 mm
CHAVE ESTRIA 14X15 mm
CHAVE ESTRIA 18X19 mm
LIMA BASTARDA MEIA CANA N 10
MARRETA 2 KG
MARTELO BOLA 300 G
PAQUIMETRO DIGITAL CAP 150MM 798 A
TRENA ACO 5M
CHAVE COMBINADA 11mm
ARCO DE SERRA
CADEADO
CAIXA DE FERRAMENTAS
"CHAVE ""L"" 7/16"""
CHAVE ALLEN 10
"CHAVE ALLEN 3/8"""
"CHAVE ALLEN 5/16"""
"CHAVE ALLEN 7/16"""
CHAVE ALLEN 8
CHAVE BOCA 24-26
CHAVE CORRENTE
CHAVE GRIFO 18''
ESCALA 1000MM
GUINCHO DE COLUNA 1 TON X 6 M X MONOFASICO 220V
CARRO TROLE MANUAL 1 TON
PIROMETRO MINIPA MT-350
GUINCHO 1 TON X 6 M X MONOFASICO 220V COM TROLLER EL
COLHER DE PEDREIRO 10 CANTO RETO
CHAVE ALLEN 3/16*
CHAVE BOCA FIXA 18X19 mm
CHAVE BOCA FIXA 3/8*X7/16*
CHAVE COMBINADA 24 mm
CHAVE COMBINADA 7/16*
CHAVE ESTRIA 18X19 mm
ESPATULA CHATA
MARRETA 2 KG
MARTELO BOLA 500 G
"CHAVE ALLEN 5/16"""
CHAVE ALLEN 8
PAQUIMETRO DIGITAL MOD 7799A-6/150 STARRET
PIROMETRO MINIPA MT-350
CHAVE COMBINADA 9/16*
ALICATE AMPERIMETRO MINIPA
ALICATE BICO 1/2* CURVO IS 7 1/2*
ALICATE BICO RETO 1/2* IS 6 1/2*
ALICATE PRENSA TERMINAL RJ 11/12/45
ALICATE PRESSAO 10*
ALICATE UNIVERSAL IS 8*
BROCA ACO RAPIDO 1/16*
BROCA ACO RAPIDO 1/2*
"BROCA ACO RAPIDO 10,0MM"
BROCA ACO RAPIDO 11/16*
BROCA ACO RAPIDO 2 mm
BROCA ACO RAPIDO 21/32*
BROCA ACO RAPIDO 3/8*
